,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team
1765,2017,3,80,Philadelphia Flyers,Kirill Ustimenko,71471,1999-01-29,BLR,"6' 3""",187,L,8480279,G,European Goalie,RUSSIA-JR.,Dynamo St. Petersburg 2
1771,2017,3,86,Columbus Blue Jackets,Daniil Tarasov,70814,1999-03-27,RUS,"6' 5""",185,L,8480193,G,European Goalie,RUSSIA-JR.,Ufa 2
1773,2017,3,88,Detroit Red Wings,Keith Petruzzelli,62767,1999-02-09,USA,"6' 5""",174,L,8479975,G,North American Goalie,USHL,Muskegon
1781,2017,4,96,Vegas Golden Knights,Maksim Zhukov,69080,1999-07-22,RUS,"6' 3""",192,L,8480040,G,European Goalie,USHL,Green Bay
1789,2017,4,104,Carolina Hurricanes,Eetu Makiniemi,69254,1999-04-19,FIN,"6' 2""",176,L,8480199,G,European Goalie,Finland Jr.,Jokerit Jr.
1795,2017,4,110,Toronto Maple Leafs,Ian Scott,64270,1999-01-11,CAN,"6' 3""",169,L,8479993,G,North American Goalie,WHL,Prince Albert
1796,2017,4,111,Boston Bruins,Jeremy Swayman,72167,1998-11-24,USA,"6' 2""",187,L,8480280,G,North American Goalie,USHL,Sioux Falls
1799,2017,4,114,Colorado Avalanche,Petr Kvaca,63804,1997-09-12,CZE,"6' 1""",185,L,8480282,G,European Goalie,CZREP-2,C. Budejovice
1814,2017,5,129,New Jersey Devils,Gilles Senn,57064,1996-03-01,CHE,"6' 5""",191,R,8480213,G,European Goalie,SWISS,Davos
1838,2017,5,153,Anaheim Ducks,Olle Eriksson Ek,69102,1999-06-22,SWE,"6' 3""",185,L,8480042,G,European Goalie,SWEDEN-JR.,Farjestad Jr.
1839,2017,5,154,Nashville Predators,Tomas Vomacka,69018,1999-05-02,CZE,"6' 3""",180,L,8480233,G,North American Goalie,NAHL,Corpus Christi
1846,2017,6,161,Vegas Golden Knights,Jiri Patera,69732,1999-02-24,CZE,"6' 2""",208,L,8480238,G,North American Goalie,CZREP-JR.,C. Budejovice Jr.
1852,2017,6,167,Winnipeg Jets,Arvid Holm,72730,1998-11-03,SWE,"6' 4""",213,L,8480244,G,European Goalie,SWEDEN-JR.,Karlskrona Jr.
1868,2017,6,183,Ottawa Senators,Jordan Hollett,64274,1999-03-31,CAN,"6' 4""",194,L,8480254,G,North American Goalie,WHL,Regina
1879,2017,7,194,Dallas Stars,Dylan Ferguson,64207,1998-09-20,CAN,"6' 1""",189,L,8480263,G,North American Goalie,WHL,Kamloops
1884,2017,7,199,Montréal Canadiens,Cayden Primeau,63816,1999-08-11,USA,"6' 3""",198,L,8480051,G,North American Goalie,USHL,Lincoln
1941,2018,2,39,New York Rangers,Olof Lindbom,72022,2000-07-23,SWE,"6' 2""",183,L,8481015,G,European Goalie,SWEDEN-JR.,Djurgarden Jr.
1964,2018,2,62,Edmonton Oilers,Olivier Rodrigue,72994,2000-07-06,CAN,"6' 1""",156,L,8480885,G,North American Goalie,QMJHL,Drummondville
1966,2018,3,64,Colorado Avalanche,Justus Annunen,73210,2000-03-11,FIN,"6' 4""",209,L,8481020,G,European Goalie,FINLAND-JR.,Karpat Jr.
1974,2018,3,72,New York Islanders,Jakub Skarek,69017,1999-11-10,CZE,"6' 3""",192,L,8480819,G,European Goalie,CZREP,Jihlava
1986,2018,3,84,Detroit Red Wings,Jesper Eliasson,80820,2000-03-21,SWE,"6' 3""",209,L,8481023,G,European Goalie,SWEDEN-JR. 2,Troja-Ljungby Jr.
1987,2018,3,85,Anaheim Ducks,Lukas Dostal,72054,2000-06-22,CZE,"6' 1""",166,L,8480843,G,European Goalie,CZREP-2,Trebic
2009,2018,4,107,St. Louis Blues,Joel Hofer,79928,2000-07-30,CAN,"6' 4""",174,L,8480981,G,North American Goalie,WHL,Swift Current
2016,2018,4,114,Arizona Coyotes,Ivan Prosvetov,74120,1999-03-05,RUS,"6' 5""",180,L,8481031,G,North American Goalie,USHL,Youngstown
2026,2018,4,124,Washington Capitals,Mitchell Gibson,68305,1999-06-25,USA,"6' 1""",189,L,8481064,G,North American Goalie,NAHL,Lone Star
2038,2018,5,136,New Jersey Devils,Akira Schmid,75112,2000-05-12,CHE,"6' 5""",205,L,8481033,G,North American Goalie,SWISS-JR.,Langnau Jr.
2045,2018,5,143,Philadelphia Flyers,Samuel Ersson,70890,1999-10-20,SWE,"6' 2""",176,L,8481035,G,European Goalie,SWEDEN-JR.,Brynas Jr.
2046,2018,5,144,Los Angeles Kings,David Hrenak,65259,1998-05-05,SVK,"6' 2""",192,L,8481069,G,North American Goalie,NCHC,St. Cloud State
2049,2018,5,147,Anaheim Ducks,Roman Durny,67569,1998-05-28,SVK,"6' 2""",214,R,8481036,G,North American Goalie,USHL,Des Moines
2054,2018,5,152,Tampa Bay Lightning,Magnus Chrona,71127,2000-08-28,SWE,"6' 4""",209,L,8480992,G,European Goalie,SWE-JR. U18,Nacka
2059,2018,6,157,Ottawa Senators,Kevin Mandolese,73004,2000-08-22,CAN,"6' 4""",188,L,8480867,G,North American Goalie,QMJHL,Cape Breton
2060,2018,6,158,Arizona Coyotes,David Tendeck,64390,1999-11-25,CAN,"6' 1""",173,R,8480996,G,North American Goalie,WHL,Vancouver
2062,2018,6,160,Detroit Red Wings,Victor Brattstrom,66563,1997-03-22,SWE,"6' 5""",200,L,8480997,G,European Goalie,SWEDEN-JR.,Timra Jr.
2064,2018,6,162,Chicago Blackhawks,Alexis Gravel,73011,2000-03-21,DEU,"6' 3""",219,R,8480868,G,North American Goalie,QMJHL,Halifax
2075,2018,6,173,Columbus Blue Jackets,Veini Vehvilainen,57447,1997-02-13,FIN,"6' 1""",183,R,8481001,G,European Goalie,FINLAND,Karpat
2077,2018,6,175,Los Angeles Kings,Jacob Ingham,72819,2000-06-10,CAN,"6' 4""",195,L,8480857,G,North American Goalie,OHL,Mississauga
2078,2018,6,176,San Jose Sharks,Zachary Emond,73044,2000-06-20,CAN,"6' 3""",177,L,8481002,G,North American Goalie,QMJHL,Rouyn-Noranda
2086,2018,6,184,Winnipeg Jets,Jared Moe,73192,1999-07-22,USA,"6' 3""",205,R,8481044,G,North American Goalie,USHL,Waterloo
2094,2018,7,192,Vancouver Canucks,Matthew Thiessen,80901,2000-06-09,CAN,"6' 2""",208,L,8481080,G,North American Goalie,MJHL,Steinbach
2099,2018,7,197,Carolina Hurricanes,Jacob Kucharski,72514,1999-09-25,USA,"6' 4""",222,L,8481050,G,North American Goalie,USHL,Des Moines
2104,2018,7,202,Colorado Avalanche,Shamil Shmakov,73741,1999-07-27,RUS,"6' 6""",196,L,8481007,G,European Goalie,RUSSIA-JR.,Novosibirsk 2
2110,2018,7,208,Vegas Golden Knights,Jordan Kooy,75327,2000-04-30,CAN,"6' 3""",194,L,8481010,G,North American Goalie,OHL,London
2111,2018,7,209,Toronto Maple Leafs,Zachary Bouthillier,68684,1999-11-08,CAN,"6' 2""",193,L,8481011,G,North American Goalie,QMJHL,Chicoutimi
2115,2018,7,213,Nashville Predators,Milan Kloucek,67251,1998-04-30,CZE,"6' 3""",196,L,8481055,G,European Goalie,CZREP,Pardubice
2116,2018,7,214,Tampa Bay Lightning,Ty Taylor,74767,1999-07-05,CAN,"6' 3""",196,L,8481083,G,North American Goalie,BCHL,Vernon
